archivo,linea,funcion,fragmento
single-servicio.php,23,__,"'eyebrow'  => __( 'Servicios', 'ce-construction' ),"
single-servicio.php,62,esc_attr_e,"<nav class=""ce-service-nav"" aria-label=""<?php esc_attr_e( 'Navegación entre servicios', 'ce-construction' ); ?>"">"
single-servicio.php,67,esc_html_e,"<span class=""ce-service-nav__label""><?php esc_html_e( 'Servicio anterior', 'ce-construction' ); ?></span>"
single-servicio.php,78,esc_html_e,"<span class=""ce-service-nav__label""><?php esc_html_e( 'Siguiente servicio', 'ce-construction' ); ?></span>"
single-servicio.php,93,esc_html_e,"<h2 class=""ce-mb-4""><?php esc_html_e( 'Servicios Relacionados', 'ce-construction' ); ?></h2>"
single-servicio.php,113,esc_html_e,"<h2 class=""ce-mb-4""><?php esc_html_e( 'Proyectos Relacionados', 'ce-construction' ); ?></h2>"
single-servicio.php,132,esc_html_e,"<?php esc_html_e( 'Ver proyecto', 'ce-construction' ); ?>"
single-servicio.php,160,esc_html_e,"<h2 class=""ce-mb-4""><?php esc_html_e( 'Preguntas Frecuentes', 'ce-construction' ); ?></h2>"
single-clientes.php,43,esc_html_e,"<?php esc_html_e( 'Visitar sitio web', 'ce-construction' ); ?>"
single-clientes.php,52,esc_html_e,"<?php esc_html_e( 'Volver a clientes', 'ce-construction' ); ?>"
archive-equipo.php,18,__,"'eyebrow'  => __( 'CE Construction', 'ce-construction' ),"
archive-equipo.php,20,__,"'subtitle' => __( 'Profesionales certificados con años de experiencia ejecutando proyectos de construcción con los más altos estándares.', 'ce-construction' ),"
archive-equipo.php,36,esc_attr_e,"<nav class=""ce-mt-6"" aria-label=""<?php esc_attr_e( 'Paginación del equipo', 'ce-construction' ); ?>"">"
archive-equipo.php,39,esc_html__,"'prev_text' => '<i class=""fa-solid fa-arrow-left"" aria-hidden=""true""></i> ' . esc_html__( 'Anterior', 'ce-construction' ),"
archive-equipo.php,40,esc_html__,"'next_text' => esc_html__( 'Siguiente', 'ce-construction' ) . ' <i class=""fa-solid fa-arrow-right"" aria-hidden=""true""></i>',"
archive-equipo.php,48,esc_html_e,"<p><?php esc_html_e( 'Aún no hay miembros del equipo publicados. Vuelve pronto.', 'ce-construction' ); ?></p>"
index.php,39,esc_html_e,"<span class=""ce-eyebrow""><?php esc_html_e( 'Búsqueda', 'ce-construction' ); ?></span>"
index.php,44,esc_html__,"esc_html__( 'Resultados de búsqueda para: %s', 'ce-construction' ),"
index.php,61,esc_attr_e,"<nav class=""ce-mt-6"" aria-label=""<?php esc_attr_e( 'Paginación de resultados', 'ce-construction' ); ?>"">"
index.php,64,esc_html__,"'prev_text' => '<i class=""fa-solid fa-arrow-left"" aria-hidden=""true""></i> ' . esc_html__( 'Anterior', 'ce-construction' ),"
index.php,65,esc_html__,"'next_text' => esc_html__( 'Siguiente', 'ce-construction' ) . ' <i class=""fa-solid fa-arrow-right"" aria-hidden=""true""></i>',"
index.php,77,esc_html_e,"<span class=""ce-eyebrow""><?php esc_html_e( 'Error 404', 'ce-construction' ); ?></span>"
index.php,78,esc_html_e,"<h1><?php esc_html_e( 'Página no encontrada', 'ce-construction' ); ?></h1>"
index.php,79,esc_html_e,"<p class=""ce-mb-5""><?php esc_html_e( 'La página que buscas no existe, fue movida o la URL contiene un error.', 'ce-construction' ); ?></p>"
index.php,86,esc_html_e,"<span class=""ce-eyebrow""><?php esc_html_e( 'CE Construction', 'ce-construction' ); ?></span>"
index.php,103,esc_attr_e,"<nav class=""ce-mt-6"" aria-label=""<?php esc_attr_e( 'Paginación', 'ce-construction' ); ?>"">"
index.php,106,esc_html__,"'prev_text' => '<i class=""fa-solid fa-arrow-left"" aria-hidden=""true""></i> ' . esc_html__( 'Anterior', 'ce-construction' ),"
index.php,107,esc_html__,"'next_text' => esc_html__( 'Siguiente', 'ce-construction' ) . ' <i class=""fa-solid fa-arrow-right"" aria-hidden=""true""></i>',"
index.php,127,esc_html_e,"<span class=""ce-eyebrow""><?php esc_html_e( 'Blog', 'ce-construction' ); ?></span>"
archive.php,32,__,"$archive_eyebrow = __( 'CE Construction', 'ce-construction' );"
archive.php,43,__,"$archive_subtitle = sprintf( __( 'Entradas publicadas por %s.', 'ce-construction' ), get_the_author() );"
archive.php,45,__,"$archive_subtitle = __( 'Entradas del blog publicadas en esta fecha.', 'ce-construction' );"
archive.php,71,esc_attr_e,"<nav class=""ce-mt-6"" aria-label=""<?php esc_attr_e( 'Paginación', 'ce-construction' ); ?>"">"
archive.php,74,esc_html__,"'prev_text' => '<i class=""fa-solid fa-arrow-left"" aria-hidden=""true""></i> ' . esc_html__( 'Anterior', 'ce-construction' ),"
archive.php,75,esc_html__,"'next_text' => esc_html__( 'Siguiente', 'ce-construction' ) . ' <i class=""fa-solid fa-arrow-right"" aria-hidden=""true""></i>',"
archive-proyecto.php,18,__,"'eyebrow'  => __( 'CE Construction', 'ce-construction' ),"
archive-proyecto.php,20,__,"'subtitle' => __( 'Una muestra de nuestras remodelaciones, donde cada proyecto refleja nuestro compromiso con la calidad, el diseño y la atención a cada deta..."
archive-proyecto.php,39,esc_attr_e,"<nav class=""ce-mt-6"" aria-label=""<?php esc_attr_e( 'Paginación de proyectos', 'ce-construction' ); ?>"">"
archive-proyecto.php,42,esc_html__,"'prev_text' => '<i class=""fa-solid fa-arrow-left"" aria-hidden=""true""></i> ' . esc_html__( 'Anterior', 'ce-construction' ),"
archive-proyecto.php,43,esc_html__,"'next_text' => esc_html__( 'Siguiente', 'ce-construction' ) . ' <i class=""fa-solid fa-arrow-right"" aria-hidden=""true""></i>',"
archive-proyecto.php,51,esc_html_e,"<p><?php esc_html_e( 'Aún no hay proyectos publicados. Vuelve pronto.', 'ce-construction' ); ?></p>"
single.php,35,__,"'eyebrow'  => __( 'Blog', 'ce-construction' ),"
single.php,100,esc_html__,"'before'      => '<div class=""ce-mt-4 ce-flex ce-gap-2 ce-flex-wrap"">' . esc_html__( 'Páginas:', 'ce-construction' ),"
single.php,130,esc_attr_e,"<nav class=""ce-service-nav"" aria-label=""<?php esc_attr_e( 'Navegación entre entradas', 'ce-construction' ); ?>"">"
single.php,135,esc_html_e,"<span class=""ce-service-nav__label""><?php esc_html_e( 'Entrada anterior', 'ce-construction' ); ?></span>"
single.php,146,esc_html_e,"<span class=""ce-service-nav__label""><?php esc_html_e( 'Siguiente entrada', 'ce-construction' ); ?></span>"
footer.php,29,__,"__( 'Empresa constructora especializada en proyectos residenciales, comerciales e industriales, comprometida con la calidad, la seguridad y el cumplimiento d..."
footer.php,38,esc_html_e,"<h4><?php esc_html_e( 'Enlaces', 'ce-construction' ); ?></h4>"
footer.php,50,esc_html_e,"<li><a href=""<?php echo esc_url( home_url( '/' ) ); ?>""><?php esc_html_e( 'Inicio', 'ce-construction' ); ?></a></li>"
footer.php,52,esc_html_e,"<li><a href=""<?php echo esc_url( get_post_type_archive_link( 'servicio' ) ); ?>""><?php esc_html_e( 'Servicios', 'ce-construction' ); ?></a></li>"
footer.php,55,esc_html_e,"<li><a href=""<?php echo esc_url( get_post_type_archive_link( 'proyecto' ) ); ?>""><?php esc_html_e( 'Proyectos', 'ce-construction' ); ?></a></li>"
footer.php,58,esc_html_e,"<li><a href=""<?php echo esc_url( ce_get_quote_cta_url() ); ?>""><?php esc_html_e( 'Cotización', 'ce-construction' ); ?></a></li>"
footer.php,84,esc_html_e,"<h4><?php esc_html_e( 'Contacto', 'ce-construction' ); ?></h4>"
footer.php,112,esc_html_e,"<h4><?php esc_html_e( 'Ubicación', 'ce-construction' ); ?></h4>"
footer.php,118,esc_attr_e,"title=""<?php esc_attr_e( 'Mapa de ubicación', 'ce-construction' ); ?>"">"
footer.php,121,esc_html_e,"<p><?php esc_html_e( 'Configura la URL del mapa desde el Personalizador.', 'ce-construction' ); ?></p>"
footer.php,138,__,"__( '&copy; %1$d %2$s. Todos los derechos reservados.', 'ce-construction' ),"
footer.php,146,esc_attr_e,"<nav aria-label=""<?php esc_attr_e( 'Enlaces legales', 'ce-construction' ); ?>"">"
footer.php,156,esc_attr_e,"<a href=""#"" class=""ce-float-btn ce-float-btn--whatsapp"" aria-label=""<?php esc_attr_e( 'Escríbenos por WhatsApp', 'ce-construction' ); ?>"" data-message=""<?php..."
footer.php,156,esc_attr_e,"<a href=""#"" class=""ce-float-btn ce-float-btn--whatsapp"" aria-label=""<?php esc_attr_e( 'Escríbenos por WhatsApp', 'ce-construction' ); ?>"" data-message=""<?php..."
footer.php,160,esc_attr_e,"<button class=""ce-float-btn ce-float-btn--top"" aria-label=""<?php esc_attr_e( 'Volver arriba', 'ce-construction' ); ?>"">"
footer.php,168,esc_attr_e,"<button class=""ce-modal__close"" aria-label=""<?php esc_attr_e( 'Cerrar', 'ce-construction' ); ?>""><i class=""fa-solid fa-xmark"" aria-hidden=""true""></i></button>"
footer.php,170,esc_html_e,"<h3 id=""ce-modal-success-title"" class=""ce-modal__title""><?php esc_html_e( '¡Solicitud enviada!', 'ce-construction' ); ?></h3>"
footer.php,171,esc_html_e,"<p class=""ce-modal__text""><?php esc_html_e( 'Gracias por contactarnos. Nuestro equipo revisará tu solicitud y te responderá muy pronto.', 'ce-construction' )..."
footer.php,172,esc_html_e,"<button class=""ce-btn ce-btn--primary ce-modal__close-action ce-modal__close""><?php esc_html_e( 'Entendido', 'ce-construction' ); ?></button>"
footer.php,179,esc_attr_e,"<button class=""ce-modal__close"" aria-label=""<?php esc_attr_e( 'Cerrar', 'ce-construction' ); ?>""><i class=""fa-solid fa-xmark"" aria-hidden=""true""></i></button>"
footer.php,181,esc_html_e,"<h3 id=""ce-modal-error-title"" class=""ce-modal__title""><?php esc_html_e( 'Algo salió mal', 'ce-construction' ); ?></h3>"
footer.php,182,esc_html_e,"<p class=""ce-modal__text""><?php esc_html_e( 'No pudimos procesar tu solicitud. Por favor verifica los datos o intenta nuevamente en unos minutos.', 'ce-const..."
footer.php,183,esc_html_e,"<button class=""ce-btn ce-btn--dark ce-modal__close-action ce-modal__close""><?php esc_html_e( 'Cerrar', 'ce-construction' ); ?></button>"
footer.php,207,esc_attr_e,"<button class=""ce-modal__close"" aria-label=""<?php esc_attr_e( 'Cerrar', 'ce-construction' ); ?>""><i class=""fa-solid fa-xmark"" aria-hidden=""true""></i></button>"
footer.php,208,esc_html_e,"<h3 id=""ce-quote-modal-title"" class=""ce-modal__title""><?php esc_html_e( 'Solicita tu Cotización Gratuita', 'ce-construction' ); ?></h3>"
404.php,38,esc_html_e,"<span class=""ce-eyebrow""><?php esc_html_e( 'Error 404', 'ce-construction' ); ?></span>"
404.php,39,esc_html_e,"<h1><?php esc_html_e( 'Página no encontrada', 'ce-construction' ); ?></h1>"
404.php,40,esc_html_e,"<p class=""ce-mb-6""><?php esc_html_e( 'La página que buscas no existe, fue movida o la URL contiene un error. Intenta buscar lo que necesitas o explora las si..."
404.php,51,__,"'title' => __( 'Servicios', 'ce-construction' ),"
404.php,52,__,"'text'  => __( 'Conoce todo lo que hacemos por tu proyecto.', 'ce-construction' ),"
404.php,59,__,"'title' => __( 'Proyectos', 'ce-construction' ),"
404.php,60,__,"'text'  => __( 'Descubre nuestro trabajo ya entregado.', 'ce-construction' ),"
404.php,67,__,"'title' => __( 'Equipo', 'ce-construction' ),"
404.php,68,__,"'text'  => __( 'Conoce a los profesionales detrás de cada obra.', 'ce-construction' ),"
404.php,74,__,"'title' => __( 'Inicio', 'ce-construction' ),"
404.php,75,__,"'text'  => __( 'Vuelve a la página principal del sitio.', 'ce-construction' ),"
404.php,82,esc_html_e,"<h2 class=""ce-text-center ce-mb-5""><?php esc_html_e( 'Quizás te interese', 'ce-construction' ); ?></h2>"
single-proyecto.php,29,__,"'eyebrow'  => __( 'Proyectos', 'ce-construction' ),"
single-proyecto.php,48,esc_html_e,"<span class=""ce-project-meta-item__label""><?php esc_html_e( 'Cliente', 'ce-construction' ); ?></span>"
single-proyecto.php,57,esc_html_e,"<span class=""ce-project-meta-item__label""><?php esc_html_e( 'Ubicación', 'ce-construction' ); ?></span>"
single-proyecto.php,66,esc_html_e,"<span class=""ce-project-meta-item__label""><?php esc_html_e( 'Fecha de entrega', 'ce-construction' ); ?></span>"
single-proyecto.php,67,date_i18n,"<span class=""ce-project-meta-item__value""><?php echo esc_html( date_i18n( get_option( 'date_format' ), strtotime( $fecha ) ) ); ?></span>"
single-proyecto.php,75,esc_html_e,"<span class=""ce-project-meta-item__label""><?php esc_html_e( 'Estado', 'ce-construction' ); ?></span>"
single-proyecto.php,103,esc_html_e,"<h2 class=""ce-mb-4""><?php esc_html_e( 'Galería del Proyecto', 'ce-construction' ); ?></h2>"
single-proyecto.php,128,esc_attr_e,"<nav class=""ce-service-nav"" aria-label=""<?php esc_attr_e( 'Navegación entre proyectos', 'ce-construction' ); ?>"">"
single-proyecto.php,133,esc_html_e,"<span class=""ce-service-nav__label""><?php esc_html_e( 'Proyecto anterior', 'ce-construction' ); ?></span>"
single-proyecto.php,144,esc_html_e,"<span class=""ce-service-nav__label""><?php esc_html_e( 'Siguiente proyecto', 'ce-construction' ); ?></span>"
single-proyecto.php,160,esc_html_e,"<h2 class=""ce-mb-4""><?php esc_html_e( 'Servicios Relacionados', 'ce-construction' ); ?></h2>"
page.php,88,esc_html__,"'before'      => '<div class=""ce-mt-4 ce-flex ce-gap-2 ce-flex-wrap"">' . esc_html__( 'Páginas:', 'ce-construction' ),"
archive-clientes.php,18,__,"'eyebrow'  => __( 'CE Construction', 'ce-construction' ),"
archive-clientes.php,20,__,"'subtitle' => __( 'Empresas y organizaciones que han confiado en nosotros para ejecutar sus proyectos de construcción.', 'ce-construction' ),"
archive-clientes.php,36,esc_attr_e,"<nav class=""ce-mt-6"" aria-label=""<?php esc_attr_e( 'Paginación de clientes', 'ce-construction' ); ?>"">"
archive-clientes.php,39,esc_html__,"'prev_text' => '<i class=""fa-solid fa-arrow-left"" aria-hidden=""true""></i> ' . esc_html__( 'Anterior', 'ce-construction' ),"
archive-clientes.php,40,esc_html__,"'next_text' => esc_html__( 'Siguiente', 'ce-construction' ) . ' <i class=""fa-solid fa-arrow-right"" aria-hidden=""true""></i>',"
archive-clientes.php,48,esc_html_e,"<p><?php esc_html_e( 'Aún no hay clientes publicados. Vuelve pronto.', 'ce-construction' ); ?></p>"
archive-servicio.php,17,__,"'eyebrow'  => __( 'CE Construction', 'ce-construction' ),"
